2025/08/07 22:09:25 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:09:25 main.go:43: http://localhost:8080
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:38656
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 1.793885ms | Statuscode: 200 | Antwortgröße: 3757 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:38656
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 212.753µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:38672
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:38688
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 192.096µs | Statuscode: 200 | Antwortgröße: 1228 Bytes
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 2.919093ms | Statuscode: 200 | Antwortgröße: 3268666 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/js/utils.js | RemoteAddr: [::1]:38672
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 86.909µs | Statuscode: 200 | Antwortgröße: 1736 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/js/calculator.js | RemoteAddr: [::1]:38688
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/js/user.js | RemoteAddr: [::1]:38656
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 37.835µs | Statuscode: 200 | Antwortgröße: 1288 Bytes
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 37.985µs | Statuscode: 200 | Antwortgröße: 2041 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/js/routes.js | RemoteAddr: [::1]:38694
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /assets/js/pricing.js | RemoteAddr: [::1]:38702
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 63.642µs | Statuscode: 200 | Antwortgröße: 173 Bytes
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 162.06µs | Statuscode: 200 | Antwortgröße: 894 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:38702
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /app/routes | RemoteAddr: [::1]:38694
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 44.654µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:09:28 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:09:28 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:38656
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 32.046µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:09:28 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:09:28 CEST | Dauer: 1.232665ms | Statuscode: 200 | Antwortgröße: 421 Bytes
2025/08/07 22:11:22 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:22 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:38694
2025/08/07 22:11:22 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:22 CEST | Dauer: 148.939µs | Statuscode: 200 | Antwortgröße: 3743 Bytes
2025/08/07 22:11:22 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:22 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:38694
2025/08/07 22:11:22 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:22 CEST | Dauer: 67.144µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:11:22 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:22 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:38656
2025/08/07 22:11:22 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:22 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:38702
2025/08/07 22:11:22 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:22 CEST | Dauer: 79.325µs | Statuscode: 200 | Antwortgröße: 2105 Bytes
2025/08/07 22:11:22 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:22 CEST | Dauer: 1.841761ms | Statuscode: 200 | Antwortgröße: 3268666 Bytes
2025/08/07 22:11:22 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:22 CEST | Methode: GET | URL: /assets/favicon.ico | RemoteAddr: [::1]:38656
2025/08/07 22:11:22 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:22 CEST | Dauer: 135.459µs | Statuscode: 200 | Antwortgröße: 54750 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: / | RemoteAddr: [::1]:38656
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 122.316µs | Statuscode: 200 | Antwortgröße: 3757 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /assets/style/style.css | RemoteAddr: [::1]:38656
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 78.904µs | Statuscode: 200 | Antwortgröße: 1446 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /assets/banner.png | RemoteAddr: [::1]:38702
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /assets/js/script.js | RemoteAddr: [::1]:38694
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 72.714µs | Statuscode: 200 | Antwortgröße: 2105 Bytes
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 1.840357ms | Statuscode: 200 | Antwortgröße: 3268666 Bytes
